PATS坝珇,PFC2坝珇,计锣传(PHI),だ计锣传(PHI),"だ计锣传(PFC2)""2计""",ユ┮锣传(PFC2)
MINI NSDQ,NQ,1,1,1,CME
MINRUS RTY,RTY,1,1,1,CME
EUR/JPY,RY,1,1,1,CME
EUROJY,RY,1,1,1,CME
SWF,SF,10000,1,1,CME
SWISS FR,SF,10000,1,1,CME
MIN EURFX,UROM,10000,1,1,CME
MN EUR FX,UROM,10000,1,1,CME
EUR FX O,EC,10000,1,1,CME
MINI NQ SP,NQ SP,1,1,1,CME
L CATTLE,LC,1,1,1,CME
MIC NSDQ,MNQ,1,1,1,CME
F CATTLE,FC,1,1,1,CME
MIC S&P,MES,1,1,1,CME
GBP FX O,BP,10000,1,1,CME
JPY FX O,JY,10000,1,1,CME
MICRUS M2K,M2k,1,1,1,CME
CMX GLD,GC,1,1,1,CMX
GC,GC,1,1,1,CMX
GC,GC,1,1,1,CMX
OG OPT,GC,1,1,1,CMX
CMX GLD O,GC,1,1,1,CMX
CMX COP,HG,10000,1,1,CMX
HG,HG,10000,1,1,CMX
GC MCR,MGC,1,1,1,CMX
MIC GOLD,MGC,1,1,1,CMX
CMX SIL,SI,100,1,1,CMX
SI,SI,100,1,1,CMX
NYB CC F,CC,1,1,1,CSC
NYB CC F,CC,1,1,1,CSC
NYB KC F,KC,1,1,1,CSC
NYB OJ F,OJ,1,1,1,CSC
NYB SB F,SB,1,1,1,CSC
NB COFY,KC,1,1,1,CSC
GDU F,GDU,1,1,1,HKF
HHI,HHI,1,1,1,HKF
HHI,HHI,1,1,1,HKF
H-SHARES,HHI,1,1,1,HKF
HSI,HSI,1,1,1,HKF
HSI,HSI,1,1,1,HKF
MCH,MCH,1,1,1,HKF
MCH,MCH,1,1,1,HKF
MCH,MCH,1,1,1,HKF
MHI,MHI,1,1,1,HKF
MHI,MHI,1,1,1,HKF
MHI,MHI,1,1,1,HKF
MIN-HSI,MHI,1,1,1,HKF
Brent,B ,100,1,1,IPE
P,P,1,1,1,IPE
MINI PLAT,JPM,1,1,1,JPM
FTSE100,FT,1,1,1,LIF
CAC-40,FCH,1,1,1,MAT
NYB CT F,CT,1,1,1,NYC
NYB DX F,DX,1,1,1,NYC
YB DX F,DX,1,1,1,NYC
CRUDE FF,BZ,1,1,1,NYM
CL,CL,1,1,1,NYM
CRUDE,CL,1,1,1,NYM
CRUDE O,CL,1,1,1,NYM
LO OPT,CL,1,1,1,NYM
HO,HO,10000,1,1,NYM
NATGAS,NG,1,1,1,NYM
NG,NG,1,1,1,NYM
NATGAS O,NG,1,1,1,NYM
PA,PA,1,1,1,NYM
NYM PAL,PA,1,1,1,NYM
NYM PLA,PL,1,1,1,NYM
PL,PL,1,1,1,NYM
MINI CL,QM,1,1,1,NYM
MINICRUDE,QM,1,1,1,NYM
GASOLINE,RB,1,1,1,NYM
HEAT OIL,HO,10000,1,1,NYM
NYM PLA SP,PL SP,1,1,1,NYM
CMX GLD SP,GC SP,1,1,1,NYM
CRUDE TAS,CL TAS,1,1,1,NYM
NATGAS SP,NG SP,1,1,1,NYM
NK225,JNI,1,1,1,OSE
NK225M,JNM,1,1,1,OSE
TOPIX,JTI,1,1,1,OSE
TOPIX MINI,JTM,1,1,1,OSE
DAX,DAX,1,1,1,REX
Mini DAX,DXM,1,1,1,REX
DJEST50,FESX,1,1,1,REX
BUND 10Y,FGBL,1,1,1,REX
BOBL 5Y,FGBM,1,1,1,REX
SHAZ 2Y,FGBS,1,1,1,REX
BUXL 30Y,FGBX,1,1,1,REX
CN,CN,1,1,1,SMX
QXINHUA 50,CN,1,1,1,SMX
ID,ID,1,1,1,SMX
IN,IN,1,1,1,SMX
NIFTY,IN,1,1,1,SMX
QNIFTY,IN,1,1,1,SMX
SG,SG,1,1,1,SMX
QSG,SG,1,1,1,SMX
MINI JGB,SJB,1,1,1,SMX
QNK,SSI,1,1,1,SMX
QNK SP,SSI SP,1,1,1,SMX
QTW,TW,1,1,1,SMX
TW,TW,1,1,1,SMX
ALUMI5000,JAL,1,1,1,TCE
GOLD MINI,JAM,1,1,1,TCE
Gold,JAU,1,1,1,TCE
GOLD_TCE,JAU,1,1,1,TCE
CRUDEOIL,JCO,1,1,1,TCE
GASOLINE50,JGL,1,1,1,TCE
KEROSENE50,JKE,1,1,1,TCE
PALLADIUM,JPA,1,1,1,TCE
PLATINUM,JPL,1,1,1,TCE
PT MINI,JPM,1,1,1,TCE
RUBBER,JRU,1,1,1,TCE
SILVER,JSV,1,1,1,TCE
